Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,GRP
8/28/2017,Acme,#07993 ACME,7.98,debit,Groceries,CREDIT CARD,FOOD
4/1/2018,Chairs Brooklyn,12 CHAIRS - BROOKLYN,20.14,debit,Restaurants,CREDIT CARD,FOOD
4/5/2017,Yr Bday Karen,2 yr bday from Karen and steve -,100,credit,Income,Mazie,INCOME
3/28/2018,Emmons Garage Llc,2027 EMMONS GARAGE LLC,15,debit,Parking,CREDIT CARD,GENERAL
9/15/2018,Green Point,21 GREENPOINT AVE,40.28,debit,Business Services,CREDIT CARD,FOOD
3/15/2018,Deposit Hsbc Bank,"ACH Deposit From HSBC BANK USA, NA",5000,credit,Income,PREMIUM SAVINGS,IGNORE
2/28/2018,Deposit Hsbc Bank,"ACH Deposit From HSBC BANK USA, NA",2000,credit,Income,PREMIUM SAVINGS,IGNORE
2/27/2018,Deposit Hsbc Online,ACH Deposit From HSBC ONLINE,5000,credit,Income,PREMIUM SAVINGS,IGNORE
6/3/2018,Akdeniz Mediterranean Cuisine Inc.,AKDENIZ MEDITERRANEAN CUI,41.51,debit,Restaurants,CREDIT CARD,FOOD
2/4/2018,Alamo City Point,ALAMO CITY POINT REST,65.83,debit,Movies & DVDs,CREDIT CARD,TRAVEL
1/22/2017,Albertsons,ALBERTSONS #6586,6.66,debit,Groceries,CREDIT CARD,TRAVEL
7/27/2018,Alidoro,ALIDORO II LLC,18.78,debit,Groceries,CREDIT CARD,TRAVEL
7/25/2017,All Hands,ALL HANDS,144.4,debit,Restaurants,CREDIT CARD,FOOD
7/22/2018,Alley Pond Driving,ALLEY POND DRIVING,13.25,debit,Sports,CREDIT CARD,GENERAL
11/30/2017,Allswell,ALLSWELL,39.66,debit,Restaurants,CREDIT CARD,FOOD
3/21/2018,Amazon,Amazon Digital Svcs,0.89,debit,Shopping,CREDIT CARD,GENERAL
7/19/2017,Amazon,Amazon Digital Svcs,0.98,debit,Shopping,CREDIT CARD,GENERAL
7/24/2018,Amazon,AMAZON MKTPLACE PMTS,79.99,debit,Shopping,CREDIT CARD,GENERAL
7/18/2018,Amazon,AMAZON MKTPLACE PMTS,124.09,debit,Shopping,CREDIT CARD,GENERAL
7/18/2018,Amazon,AMAZON MKTPLACE PMTS,14.71,debit,Shopping,CREDIT CARD,GENERAL
7/17/2018,Amazon,AMAZON MKTPLACE PMTS,7.81,debit,Shopping,CREDIT CARD,GENERAL
7/15/2018,Amazon,AMAZON MKTPLACE PMTS,16.99,debit,Shopping,CREDIT CARD,GENERAL
7/15/2018,Amazon,AMAZON MKTPLACE PMTS,14.99,credit,Shopping,CREDIT CARD,GENERAL
7/15/2018,Amazon,AMAZON MKTPLACE PMTS,107.8,debit,Shopping,CREDIT CARD,GENERAL
7/15/2018,Amazon,AMAZON MKTPLACE PMTS,80.6,debit,Shopping,CREDIT CARD,GENERAL
6/20/2018,Amazon,AMAZON MKTPLACE PMTS,50.98,debit,Shopping,CREDIT CARD,GENERAL
6/19/2018,Amazon,AMAZON MKTPLACE PMTS,24.28,debit,Shopping,CREDIT CARD,GENERAL
6/11/2018,Amazon,AMAZON MKTPLACE PMTS,27.65,debit,Shopping,CREDIT CARD,GENERAL
6/6/2018,Amazon,AMAZON MKTPLACE PMTS,11.56,debit,Shopping,CREDIT CARD,GENERAL
6/5/2018,Amazon,AMAZON MKTPLACE PMTS,36.16,debit,Shopping,CREDIT CARD,GENERAL
6/5/2018,Amazon,AMAZON MKTPLACE PMTS,51.65,debit,Shopping,CREDIT CARD,GENERAL
6/4/2018,Amazon,AMAZON MKTPLACE PMTS,4.19,debit,Shopping,CREDIT CARD,GENERAL
6/3/2018,Amazon,AMAZON MKTPLACE PMTS,11.9,credit,Shopping,CREDIT CARD,GENERAL
5/18/2018,Amazon,AMAZON MKTPLACE PMTS,137,debit,Shopping,CREDIT CARD,GENERAL
5/16/2018,Amazon,AMAZON MKTPLACE PMTS,11.99,debit,Shopping,CREDIT CARD,GENERAL
5/1/2018,Amazon,AMAZON MKTPLACE PMTS,8.95,debit,Shopping,CREDIT CARD,GENERAL
5/1/2018,Amazon,AMAZON MKTPLACE PMTS,21.76,debit,Shopping,CREDIT CARD,GENERAL
